Company,Category,Queue Number,# Judges,# Matching,# Fill-In,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
SpotSight,B2B Digital/SaaS,94,11,10,1,Phil Calandra,Larry Augustin,Nicolas Schaettel,Mike Scrudato,Misha Shemyakin,Justin Hintz,Mark Roche,Ted Kubala,Ed Daniels,Ryan Mitchell,Raegen Siegfried - Fill-in
StudyPort,B2B Digital/SaaS,100,10,10,0,Phil Calandra,Johnny Whichard,Larry Augustin,Pete Effler,Brian Cho,Kristopher Priemer,Syzmon Ryzner,Mark Roche,Evan Doney,Adam Sellke
TD3 Innovative Gaming,B2B Digital/SaaS,108,10,10,0,Daniela Tomas,Nicolas Schaettel,Pete Effler,Brian Cho,Misha Shemyakin,Peter Flood,Peter Rienks,Mark Roche,Ted Kubala,Mark Jevahirian
TipOff,B2B Digital/SaaS,118,10,10,0,Larry Augustin,Rafeal Reyes,Ryan Kreager,Pete Effler,Brian Cho,Peter Flood,William O'Brien,Mark Roche,Paul Miller,Julie Rotolo
Top Prospect,B2B Digital/SaaS,127,10,10,0,Scott Voulgaris,Nicolas Schaettel,Christopher Blum,Theron Sarda,Misha Shemyakin,Joe Shonkwiler,William Harlan,Evan Doney,Bob Jank,Tyler Hudson-Crimi
activeARE,B2C Digital/Apps,0,11,11,0,Keith Harwood,Manish Shah,Ryan Kreager,Tim Connors,Mark Dixon,John Gleason,Pat Sigmon,Tom Wilkas,Brett Belock,Paul Miller,Mark Jevahirian
Artistically Stupid,B2C Digital/Apps,1,11,11,0,Keith Harwood,Daniela Tomas,Eric Meyers,Jay DeCoons,Tom Wilkas,Thomas Jensen,John Gleason,Chris Orenchuk,Patrick Farran,Joshua Francis,Mark Jevahirian
ArtVision,B2C Digital/Apps,2,11,11,0,Keith Harwood,Scott Berg,Kristin Marcuccilli,Gary Sobolewski,William O'Brien,Nitesh Gudapati,Pat Sigmon,Joe Shonkwiler,Gordon Geraci,Paul Miller,Mark Jevahirian
Astromata,B2C Digital/Apps,3,11,11,0,Keith Harwood,Manish Shah,Aaron Wallace,Gary Sobolewski,Thomas Jensen,Mark Dixon,Will Alverson,John Gleason,Joshua Francis,Patrick Farran,Mark Jevahirian
AUXIN Games,B2C Digital/Apps,4,11,11,0,Keith Harwood,Maryann Wolff,Eric Meyers,Tim O'Neill,Rita Zinn,Pat Sigmon,Tony Nguyen,William O'Brien,Philip McBride,Evan Doney,Mark Jevahirian
