Company,Category,Queue Number,# Judges,# Matching,# Fill-In,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
Resenha/Sambinha Beverage Company,Commerce/Retail,85,11,10,1,Richard Daniels,Doon Wintz,Ruben Moreno,Mike Delany,Neil Kane,Peter Flood,Rita Zinn,Janet Wolff,Jeffrey Heinichen,Malaina Weldy,Sarah Shoemaker - Fill-in
Samaritan,Commerce/Retail,92,11,10,1,Jeffrey Hebig,Jason McCaherty,Tiffany Tibbot,Austin Fazio,Neil Kane,Kerry McNeilly,David Hemler,Khoa Huynh,Jay Breeden,Malaina Weldy,Tom Winter - Fill-in
SeekSmart,Commerce/Retail,97,11,10,1,Doon Wintz,Patrick Dolan,Ruben Moreno,Ryan Olander,Larry Arseniadis,Kristopher Priemer,John Gleason,Tom Marek,Evan Doney,Adam Sellke,Raegen Siegfried - Fill-in
Small Animal Coffee House,Commerce/Retail,104,10,10,0,Jeffrey Hebig,Doon Wintz,Tiffany Tibbot,Ryan Olander,Ellen Dutton,Kristopher Priemer,David Hemler,Tom Marek,Jeffrey Heinichen,Adam Sellke
Smart Foods,Commerce/Retail,113,10,10,0,Tiffany Tibbot,Jason McCaherty,Maria Bailey,Austin Fazio,Mike Belatti,David Hemler,Andreas Widmer,Tom Marek,Joshua Francis,Eric Wiechart
"The Wholesome Package, LLC",Commerce/Retail,120,10,10,0,Richard Daniels,Doon Wintz,Amy Buchan Siegfried,Ellen Dutton,Aaron Cleavinger,David Brenner,Tom Marek,Khoa Huynh,Jeffrey Heinichen,Eric Wiechart
Venus Kenya Sacco Ltd ,Commerce/Retail,130,10,10,0,Doon Wintz,Jeffrey Hebig,Maria Bailey,Dhiraj Mehra,Austin Fazio,Mieczyslaw Jodziewicz,William O'Brien,Tom Marek,Jeffrey Heinichen,Mark Jevahirian
SpoRx Therapeutics Inc.,Drug Development,111,11,10,1,Jim Winkler,Pat Lemieux,Jim Farrington,Colin Keeler,Rahul Miglani,Syzmon Ryzner,John Gaither,Emily Stoler,Martin Carrasco,James Pink,Sarah Shoemaker - Fill-in
Van Heron Labs,Drug Development,123,10,10,0,Pat Lemieux,Jim Winkler,Jim Farrington,Syzmon Ryzner,Emily Stoler,Khoa Huynh,Colin Keeler,Paul Coletti,James Pink,Eric Wiechart
Environmentalists for Education (E4E),Energy/Defense/Environmental,99,11,11,0,Tom Winter,Robert Fulton,Raegen Siegfried,Aaron Wallace,Neil Kane,Marty Curran,Tom Marek,Paul Coletti,Ted Kubala,James Pink,Soraya Hernandez
JAM Solar,Energy/Defense/Environmental,106,11,10,1,Tom Winter,Raegen Siegfried,Benjamin Saydah,Mike Belatti,Misha Shemyakin,Marty Curran,Emily Stoler,Tom Marek,Ted Kubala,James Pink,Sarah Shoemaker - Fill-in
Mens et Manus,Energy/Defense/Environmental,110,11,10,1,Tom Winter,Robert Fulton,Raegen Siegfried,Neil Kane,Mike Belatti,Marty Curran,Janet Wolff,Mark Roche,Daniel Morden,James Pink,Sarah Shoemaker - Fill-in
Phone Panel Plus,Energy/Defense/Environmental,117,10,10,0,Tom Winter,Raegen Siegfried,Aaron Wallace,Neil Kane,Misha Shemyakin,Marty Curran,Paul Coletti,Emily Stoler,James Pink,Tyler Hudson-Crimi
Shining Innovation LLC,Energy/Defense/Environmental,124,10,10,0,Tom Winter,Robert Fulton,Raegen Siegfried,Ray Vanek,Mike Belatti,Marty Curran,Emily Stoler,Paul Coletti,Martin Carrasco,Mark Jevahirian
United Workers Government and Organizations News (UWGBO News),Energy/Defense/Environmental,133,10,10,0,Tom Winter,Raegen Siegfried,Ray Vanek,Benjamin Saydah,Neil Kane,Marty Curran,Kerry McNeilly,Paul Coletti,Julie Moylan,Mark Jevahirian
G-Dustbin,Manufacturing/Supply Chain,128,10,10,0,Richard Daniels,Patrick Dolan,Maria Bailey,Ray Vanek,Larry Arseniadis,Marty Curran,Andreas Widmer,Tom Marek,John Schroeder,Eric Wiechart
BioMarq,Medical Device/Diagnostics,88,11,11,0,Jason Sloan,John Bevan Annaloro,Dom Gatto,Larry Mastrovich,James Kelly,Jim Winkler,Pat Lemieux,Jim Farrington,Paul Coletti,Jeffrey Heinichen,Francis Williams
Duniven Dental - Making Improved Dental Instruments,Medical Device/Diagnostics,90,11,11,0,John Bevan Annaloro,James Kelly,Dom Gatto,Jason Sloan,Larry Mastrovich,Pat Lemieux,Jim Farrington,Jim Winkler,Paul Coletti,Julie Moylan,Scott Noble
HexBR,Medical Device/Diagnostics,95,11,11,0,John Bevan Annaloro,Dom Gatto,Larry Mastrovich,Jason Sloan,James Kelly,Pat Lemieux,Jim Winkler,Jim Farrington,Paul Coletti,Julie Moylan,Sean Murdock
histoimage,Medical Device/Diagnostics,101,11,11,0,John Bevan Annaloro,Larry Mastrovich,Dom Gatto,Jason Sloan,James Kelly,Jim Winkler,Pat Lemieux,Jim Farrington,Paul Coletti,James Pink,Soraya Hernandez
iMD Device (Incision Manipulation Deterrent Device),Medical Device/Diagnostics,109,11,11,0,Dom Gatto,Jason Sloan,John Bevan Annaloro,Larry Mastrovich,James Kelly,Jim Farrington,Pat Lemieux,Jim Winkler,Bob Jank,James Pink,Soraya Hernandez
Luonnon,Medical Device/Diagnostics,112,11,10,1,John Bevan Annaloro,Larry Mastrovich,James Kelly,Jason Sloan,Dom Gatto,Jim Farrington,Pat Lemieux,Jim Winkler,Patrick McMahon,Eric Wiechart,Sarah Shoemaker - Fill-in
NeuroBell,Medical Device/Diagnostics,119,11,10,1,John Bevan Annaloro,Jason Sloan,James Kelly,Dom Gatto,Larry Mastrovich,Jim Farrington,Jim Winkler,Marty Curran,Ted Kubala,Eric Wiechart,Raegen Siegfried - Fill-in
sensitv,Medical Device/Diagnostics,125,10,10,0,Jason Sloan,Dom Gatto,John Bevan Annaloro,James Kelly,Larry Mastrovich,Jim Farrington,Pat Lemieux,Marty Curran,James Pink,Eric Wiechart
thecarelink,Medical Device/Diagnostics,134,10,10,0,John Bevan Annaloro,Larry Mastrovich,Dom Gatto,Jason Sloan,James Kelly,Pat Lemieux,Jim Winkler,Marty Curran,Patrick McMahon,Steve Asiala
